col_1,col_2,col_3,table_index,row_index
Variable Name,Description,Values / Range,1,1
ENCOUNTER IDENTIFIERS & DISPOSITION,ENCOUNTER IDENTIFIERS & DISPOSITION,ENCOUNTER IDENTIFIERS & DISPOSITION,1,2
encounter_id,Unique patient encounter identifier,E###### format,1,3
encounter_disposition_label,Simplified discharge disposition,"Obs/Discharge, Floor, ICU",1,4
encounter_arrival_date,Date patient arrived at ED,2025-05-18 to 2025-05-22,1,5
TRIAGE VITAL SIGNS,TRIAGE VITAL SIGNS,TRIAGE VITAL SIGNS,1,6
triage_heart_rate,Heart rate at triage (bpm),Min: 59.7 | Max: 173.9,1,7
triage_respiratory_rate,Respiratory rate at triage (breaths/min),Min: 8.0 | Max: 45.6,1,8
triage_snapshot.systolic_bp,Systolic blood pressure at triage (mmHg),Min: 71.8 | Max: 160.6,1,9
triage_snapshot.diastolic_bp,Diastolic blood pressure at triage (mmHg),Min: 49.9 | Max: 96.9,1,10
triage_snapshot.oxygen_saturation,Oxygen saturation at triage (%),Min: 88.9 | Max: 99.9,1,11
triage_supplemental_oxygen,Supplemental oxygen given at triage,"0 = No, 1 = Yes",1,12
triage_temperature_c,Body temperature at triage (°C),Min: 36.3 | Max: 39.4,1,13
triage_gcs,Glasgow Coma Scale score at triage,Min: 3 | Max: 15,1,14
TRIAGE DEMOGRAPHICS,TRIAGE DEMOGRAPHICS,TRIAGE DEMOGRAPHICS,1,15
triage_age,Patient age at encounter (years),Min: 14 | Max: 80,1,16
triage_sex_gender,Patient self-reported sex/gender,"Male, Female, Non-binary",1,17
triage_race_ethnicity,Patient self-reported race/ethnicity,"Hispanic/Latino, Black, White, Other/Multiracial, Asian, Native American",1,18
TRIAGE CLINICAL ASSESSMENT,TRIAGE CLINICAL ASSESSMENT,TRIAGE CLINICAL ASSESSMENT,1,19
triage_chief_complaint,Primary presenting complaint at triage,"Nausea/vomiting, Palpitations, Altered mental status, Agitation, Chest pain, Headache, Anxiety/panic, General weakness, Shortness of breath, Syncope",1,20
triage_brief_note,Free-text brief clinical note by triage clinician,,1,21
triage_esi,"Emergency Severity Index (1 = most acute, 5 = least acute)",Min: 1 | Max: 5,1,22
triage_pain_scale,Self-reported pain score at triage,0 (none) to 10 (worst),1,23
triage_mode_of_arrival,How the patient arrived at the ED,"Walk-in, EMS, Police, Festival Medical Tent Transfer",1,24
"PAST MEDICAL HISTORY FLAGS (0 = No, 1 = Yes)","PAST MEDICAL HISTORY FLAGS (0 = No, 1 = Yes)","PAST MEDICAL HISTORY FLAGS (0 = No, 1 = Yes)",1,25
triage_mh_psych,History of psychiatric condition,"0 = No, 1 = Yes",1,26
triage_mh_cardiac,History of cardiac condition,"0 = No, 1 = Yes",1,27
triage_mh_pulm,History of pulmonary condition,"0 = No, 1 = Yes",1,28
triage_mh_renal,History of renal condition,"0 = No, 1 = Yes",1,29
triage_mh_substance_use,History of substance use disorder,"0 = No, 1 = Yes",1,30
