column,dtype
encounter_id,str
ed_course.vitals_timeseries,str
ed_course.labs_timeseries,str
ed_course.interventions,str
ed_course.reassessment_4h.encounter_id,str
ed_course_reassessment_4h.heart_rate_4h,float64
ed_course_reassessment_4h.respiratory_rate_4h,float64
ed_course_reassessment_4h.systolic_bp_4h,float64
ed_course_reassessment_4h.diastolic_bp_4h,float64
ed_course_reassessment_4h.oxygen_saturation_4h,float64
ed_course_reassessment_4h.supplemental_oxygen_4h,int64
ed_course_reassessment_4h.temperature_c_4h,float64
ed_course_reassessment_4h.gcs_4h,int64
ed_course_reassessment_4h.end_tidal_co2_4h,float64
ed_course_reassessment_4h.delta_hr,float64
ed_course_reassessment_4h.delta_temp,float64
ed_course_reassessment_4h.delta_gcs,int64
ed_course_reassessment_4h.lactate_4h,float64
ed_course_reassessment_4h.cpk_4h,float64
ed_course_reassessment_4h.vbg_ph_4h,float64
ed_course_reassessment_4h.troponin_4h,float64
ed_course_reassessment_4h.ivf_count_0_4h,int64
ed_course_reassessment_4h.benzodiazepine_count_0_4h,int64
ed_course_reassessment_4h.reversal_count_0_4h,int64
ed_course_reassessment_4h.intubated_0_4h,int64
ed_course_reassessment_4h.positive_pressure_0_4h,int64
ed_course_reassessment_4h.cvc_0_4h,int64
narrative_notes_structured_brief_hpi,str
narrative_notes_structured_hpi,str
narrative_notes_structured_physical_exam_pertinent_positives,str
narrative_notes_structured_mdm,str
narrative_notes_structured_clinical_course,str
narrative.notes_structured_ed_meds_procedures,str
narrative_notes_structured_ekg_abnormal,int64
narrative_notes_structured_cxr_abnormal,int64
narrative_notes_structured_ct_head_abnormal,int64
narrative_notes_structured_ct_chest_abnormal,int64
narrative_notes_structured_ct_abd_pelvis_abnormal,int64
