,count,mean,std,min,1%,5%,50%,95%,99%,max
ed_course_reassessment_4h.heart_rate_4h,261.0,92.98084291187739,20.52026242658699,49.5,59.8,66.0,90.0,134.3,146.88,168.3
ed_course_reassessment_4h.respiratory_rate_4h,261.0,17.639080459770117,5.711729287955263,7.0,7.0,9.7,16.9,28.5,31.7,38.1
ed_course_reassessment_4h.systolic_bp_4h,261.0,125.56666666666668,10.47259059861283,89.2,99.22,108.9,124.7,143.2,146.17999999999998,149.5
ed_course_reassessment_4h.diastolic_bp_4h,261.0,76.55862068965519,7.0643615595488765,58.0,60.48,65.3,76.9,88.7,92.0,96.6
ed_course_reassessment_4h.oxygen_saturation_4h,261.0,95.99501915708811,1.9920066466758652,88.8,90.58,91.8,96.4,98.4,99.2,100.0
ed_course_reassessment_4h.supplemental_oxygen_4h,261.0,0.12260536398467432,0.3286138039172474,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ed_course_reassessment_4h.temperature_c_4h,261.0,37.06429118773946,0.516715194093091,36.14,36.196,36.31,36.96,38.04,38.26,38.66
ed_course_reassessment_4h.gcs_4h,261.0,13.578544061302683,1.3862509578872948,8.0,9.6,11.0,14.0,15.0,15.0,15.0
ed_course_reassessment_4h.end_tidal_co2_4h,261.0,37.79846743295019,4.23551803523724,27.0,29.2,30.8,37.5,44.7,48.15999999999999,51.5
ed_course_reassessment_4h.delta_hr,261.0,-9.814942528735632,17.589801647998055,-84.9,-50.480000000000004,-38.4,-8.0,18.6,24.279999999999983,56.4
ed_course_reassessment_4h.delta_temp,261.0,-0.4995019157088123,0.38837152736206954,-1.47,-1.3920000000000001,-1.09,-0.53,0.13,0.3359999999999991,0.68
ed_course_reassessment_4h.delta_gcs,261.0,0.7931034482758621,1.260078731067255,-3.0,-2.4,-1.0,1.0,3.0,3.3999999999999773,4.0
ed_course_reassessment_4h.lactate_4h,133.0,2.747518796992481,1.1058504241663267,0.72,0.9591999999999999,1.238,2.52,4.61,5.234000000000002,5.9
ed_course_reassessment_4h.cpk_4h,133.0,523.3954887218046,282.13733300728546,20.0,90.32,156.07999999999998,465.3,1040.08,1180.9280000000006,1251.6
ed_course_reassessment_4h.vbg_ph_4h,133.0,7.354368421052632,0.04456226044335466,7.237,7.262840000000001,7.2828,7.353,7.4238,7.45104,7.456
ed_course_reassessment_4h.troponin_4h,133.0,0.06230075187969926,0.05213284094974108,0.0,0.0,0.0,0.046,0.15859999999999996,0.1908800000000001,0.2
ed_course_reassessment_4h.ivf_count_0_4h,261.0,0.578544061302682,0.4947409840718327,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ed_course_reassessment_4h.benzodiazepine_count_0_4h,261.0,0.5095785440613027,0.500868682467105,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ed_course_reassessment_4h.reversal_count_0_4h,261.0,0.17624521072796934,0.3817606998475989,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ed_course_reassessment_4h.intubated_0_4h,261.0,0.0842911877394636,0.27835777938674955,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ed_course_reassessment_4h.positive_pressure_0_4h,261.0,0.09578544061302682,0.29486218413584814,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ed_course_reassessment_4h.cvc_0_4h,261.0,0.04597701149425287,0.20983762827178254,0.0,0.0,0.0,0.0,0.0,1.0,1.0
narrative_notes_structured_ekg_abnormal,261.0,0.1417624521072797,0.3494764725878204,0.0,0.0,0.0,0.0,1.0,1.0,1.0
narrative_notes_structured_cxr_abnormal,261.0,0.0842911877394636,0.2783577793867495,0.0,0.0,0.0,0.0,1.0,1.0,1.0
narrative_notes_structured_ct_head_abnormal,261.0,0.034482758620689655,0.18281616630683944,0.0,0.0,0.0,0.0,0.0,1.0,1.0
narrative_notes_structured_ct_chest_abnormal,261.0,0.06513409961685823,0.2472364199157233,0.0,0.0,0.0,0.0,1.0,1.0,1.0
narrative_notes_structured_ct_abd_pelvis_abnormal,261.0,0.011494252873563218,0.10679810646152194,0.0,0.0,0.0,0.0,0.0,0.39999999999997726,1.0
