column,dtype
encounter_id,str
encounter_arrival_date,datetime64[us]
triage_heart_rate,float64
triage_respiratory_rate,float64
triage_snapshot.systolic_bp,float64
triage_snapshot.diastolic_bp,float64
triage_snapshot.oxygen_saturation,float64
triage_supplemental_oxygen,int64
triage_temperature_c,float64
triage_gcs,int64
triage_age,int64
triage_sex_gender,str
triage_race_ethnicity,str
triage_chief_complaint,str
triage_brief_note,str
triage_esi,int64
triage_pain_scale,int64
triage_mode_of_arrival,str
triage_mh_psych,int64
triage_mh_cardiac,int64
triage_mh_pulm,int64
triage_mh_renal,int64
triage_mh_substance_use,int64
triage.labs,str
