,missing_count,missing_pct
encounter_id,0,0.0
encounter_arrival_date,0,0.0
triage_heart_rate,0,0.0
triage_respiratory_rate,0,0.0
triage_snapshot.systolic_bp,0,0.0
triage_snapshot.diastolic_bp,0,0.0
triage_snapshot.oxygen_saturation,0,0.0
triage_supplemental_oxygen,0,0.0
triage_temperature_c,0,0.0
triage_gcs,0,0.0
triage_age,0,0.0
triage_sex_gender,0,0.0
triage_race_ethnicity,0,0.0
triage_chief_complaint,0,0.0
triage_brief_note,0,0.0
triage_esi,0,0.0
triage_pain_scale,0,0.0
triage_mode_of_arrival,0,0.0
triage_mh_psych,0,0.0
triage_mh_cardiac,0,0.0
triage_mh_pulm,0,0.0
triage_mh_renal,0,0.0
triage_mh_substance_use,0,0.0
triage.labs,0,0.0
