,count,mean,std,min,1%,5%,50%,95%,99%,max
triage_heart_rate,261.0,102.79578544061303,23.462802423278152,59.7,65.72,71.0,98.7,147.3,167.79999999999995,173.9
triage_respiratory_rate,261.0,23.08390804597701,7.170702254471396,8.0,10.18,13.2,21.7,36.3,42.379999999999995,45.6
triage_snapshot.systolic_bp,261.0,120.39885057471264,15.827496723104822,71.8,86.39999999999999,93.7,119.7,148.3,156.69999999999996,160.6
triage_snapshot.diastolic_bp,261.0,73.4176245210728,8.470818443611407,49.9,54.72,59.8,73.0,87.8,91.34,96.9
triage_snapshot.oxygen_saturation,261.0,95.45134099616858,2.3493796486039438,88.9,89.16,91.0,95.9,98.6,99.34,99.9
triage_supplemental_oxygen,261.0,0.23754789272030652,0.42639829092663784,0.0,0.0,0.0,0.0,1.0,1.0,1.0
triage_temperature_c,261.0,37.56379310344828,0.6510079310269172,36.28,36.394,36.71,37.4,38.86,39.096,39.35
triage_gcs,261.0,12.78544061302682,1.5762475819898514,9.0,9.0,10.0,13.0,15.0,15.0,15.0
triage_age,261.0,36.88505747126437,14.37044934313494,14.0,14.0,14.0,38.0,62.0,71.39999999999998,80.0
triage_esi,261.0,3.5440613026819925,1.287130522069503,1.0,1.0,1.0,4.0,5.0,5.0,5.0
triage_pain_scale,261.0,5.199233716475096,2.7439723077931655,0.0,0.0,1.0,5.0,10.0,10.0,10.0
triage_mh_psych,261.0,0.19540229885057472,0.39727186369915835,0.0,0.0,0.0,0.0,1.0,1.0,1.0
triage_mh_cardiac,261.0,0.21455938697318008,0.4113050259165795,0.0,0.0,0.0,0.0,1.0,1.0,1.0
triage_mh_pulm,261.0,0.20689655172413793,0.4058589476790435,0.0,0.0,0.0,0.0,1.0,1.0,1.0
triage_mh_renal,261.0,0.1111111111111111,0.3148734652924872,0.0,0.0,0.0,0.0,1.0,1.0,1.0
triage_mh_substance_use,261.0,0.24904214559386972,0.433289122413121,0.0,0.0,0.0,0.0,1.0,1.0,1.0
